Ensembl.Transcript.ID	nonsynon.probability	synon.probability	cds.length	chromosome	chromosome.start	chromosome.stop	Ensembl.Gene.ID	Associated.Gene.Name	S	N	expected.ratio	observed.ratio	odds.ratio	log2.odds.ratio	total.mut	prob.s	p.value	q.value	ranking	or.rank	p.rank	is.significant	is.interesting	cancer.gene	cancer.gene.vogelstein	classification
ENST00000424440	0.0873591447900832	0.030375531473898	579	2	231860836	231871999	ENSG00000173699	SPATA3	27	14	2.87597090655523	0.518518518518518	0.180293381041044	-2.47158166159212	41	0.257999872576121	8.46241367249683e-08	5.22977164960304e-05	84	84	29	TRUE	FALSE	FALSE	FALSE	NA
ENST00000375425	0.19743883673208	0.0575520605305508	1164	6	31920006	31926629	ENSG00000204356	NELFE	30	38	3.43061282101745	1.26666666666667	0.369224605850741	-1.43742939467734	68	0.225702411922864	0.000107015091208691	0.03688316278158	253	253	52	TRUE	FALSE	FALSE	FALSE	NA
ENST00000249440	0.199725419266355	0.0942713863774773	1299	2	177028805	177037830	ENSG00000128652	HOXD3	40	35	2.11862185272871	0.875	0.413004330561884	-1.2757711857671	75	0.320654458034092	0.000162999678312625	0.0512505304336644	326	326	57	TRUE	FALSE	FALSE	FALSE	NA
ENST00000366621	0.138394216149145	0.0688443149303696	1011	1	233749750	233808258	ENSG00000135750	KCNK1	45	41	2.01024901314101	0.911111111111111	0.453232960272668	-1.14167531340051	86	0.332198431304047	0.000323997838340605	0.0834619848151636	410	410	68	TRUE	FALSE	FALSE	FALSE	NA
ENST00000381269	0.36094799190231	0.156191880291139	2784	14	70510934	70655787	ENSG00000100678	SLC8A3	106	154	2.3109267346645	1.45283018867925	0.628678601916025	-0.669605435373663	260	0.302030241119585	0.000324522957470019	0.0834619848151636	1211	1211	69	TRUE	FALSE	FALSE	FALSE	NA
ENST00000216124	0.222871330954376	0.106312786724202	1530	22	51063446	51066600	ENSG00000100299	ARSA	28	21	2.0963737083908	0.75	0.357760640194113	-1.48293341996335	49	0.322958432727329	0.000359151907857602	0.0881742533236155	229	229	73	TRUE	FALSE	FALSE	FALSE	NA
ENST00000284523	0.18432482978129	0.0870359365694224	1059	1	228194752	228248961	ENSG00000154342	WNT3A	37	34	2.11780141682358	0.918918918918919	0.433902306240391	-1.20455784062316	71	0.32073883686242	0.000512474083775421	0.108345316077142	363	363	84	FALSE	TRUE	FALSE	FALSE	NA
ENST00000334058	0.0304482704319877	0.0106332939204846	255	21	31869142	31869451	ENSG00000186967	KRTAP19-4	8	2	2.86348432194941	0.25	0.0873062227314044	-3.51777170449051	10	0.258833715027327	0.000537973994362358	0.109195811100698	56	56	87	FALSE	TRUE	FALSE	FALSE	NA
ENST00000276533	0.0922962868240383	0.0345231588674528	672	8	41386725	41402565	ENSG00000147536	GINS4	18	14	2.67346007294402	0.777777777777778	0.290925525931378	-1.78127821020921	32	0.272222912497473	0.00054375343334494	0.109195811100698	147	147	89	FALSE	TRUE	FALSE	FALSE	NA
ENST00000429566	0.118546742188626	0.0675440897651423	942	19	9203855	9204889	ENSG00000170929	OR1M1	39	29	1.75510163214614	0.743589743589744	0.423673324649856	-1.23897579839436	68	0.362963016802045	0.000549451294481155	0.109195811100698	346	346	90	FALSE	TRUE	FALSE	FALSE	NA
ENST00000306842	0.104664966663927	0.0529603513903347	933	11	124412578	124413575	ENSG00000170953	OR8B12	38	33	1.97628912792728	0.868421052631579	0.439420042523016	-1.1863274204172	71	0.33598886298268	0.000605353448576351	0.114681875337676	378	378	93	FALSE	TRUE	FALSE	FALSE	NA
ENST00000357586	0.391432305193109	0.199611564365956	2850	22	29723671	29784572	ENSG00000100280	AP1B1	53	53	1.96097007924591	1	0.509951686965336	-0.971567522856494	106	0.337727154694747	0.000635190528610929	0.115315058139259	591	591	98	FALSE	TRUE	FALSE	FALSE	NA
ENST00000378339	0.110868336164542	0.0540920837925219	765	5	137774706	137782653	ENSG00000132563	REEP2	26	19	2.04962220700895	0.730769230769231	0.356538501715228	-1.48787021671927	45	0.327909469475169	0.000669140314619753	0.119923327186152	226	226	100	FALSE	TRUE	FALSE	FALSE	NA
ENST00000307161	0.140610586161254	0.0860104262811965	1053	4	187454809	187476721	ENSG00000168412	MTNR1A	54	44	1.63480861845228	0.814814814814815	0.498416025960411	-1.00457763767733	98	0.379534207151415	0.000772170305959762	0.131798440222961	546	546	105	FALSE	TRUE	FALSE	FALSE	NA
ENST00000337908	0.0803497875277996	0.0281605390917692	720	11	60048059	60076445	ENSG00000110079	MS4A4A	19	17	2.85327590022182	0.894736842105263	0.313582307983502	-1.67308392862454	36	0.259519439016145	0.000812653485573073	0.135776801031494	178	178	107	FALSE	TRUE	FALSE	FALSE	NA
ENST00000328890	0.108511995798794	0.0561443462696427	942	17	3029878	3030875	ENSG00000183024	OR1G1	37	32	1.93273237660737	0.864864864864865	0.447482991092129	-1.16009524856274	69	0.340978947815489	0.000885680251017535	0.14300145458321	393	393	111	FALSE	TRUE	FALSE	FALSE	NA
ENST00000310581	0.562739636343469	0.288864587777645	3399	5	1253282	1295162	ENSG00000164362	TERT	68	76	1.94810876844704	1.11764705882353	0.5737087563722	-0.801609557238524	144	0.339200510748715	0.001060751613797	0.158423253520582	853	853	120	FALSE	TRUE	TRUE	FALSE	NA
ENST00000315543	0.110696848604031	0.0455925882986611	1032	14	20585566	20586597	ENSG00000176230	OR4K17	38	45	2.42795710300311	1.18421052631579	0.487739476472238	-1.03581734948535	83	0.291718936367067	0.00151390170188435	0.210326715512956	507	507	129	FALSE	TRUE	FALSE	FALSE	NA
ENST00000399599	0.0821939985085366	0.0356346415821657	627	16	4560740	4565110	ENSG00000089486	CDIP1	12	6	2.30657570440313	0.5	0.216771554059781	-2.20575264405092	18	0.302427674245708	0.00154639661789319	0.211831196045184	100	100	130	FALSE	TRUE	FALSE	FALSE	NA
ENST00000267425	0.274924678581856	0.105497365220249	1911	14	24769068	24778330	ENSG00000196943	NOP9	29	33	2.60598620646014	1.13793103448276	0.436660421172558	-1.19541632348015	62	0.277316645917418	0.0015483699744403	0.211831196045184	370	370	131	FALSE	TRUE	FALSE	FALSE	NA
ENST00000354473	0.177726167993532	0.0581749617171776	1128	1	151148938	151162634	ENSG00000163159	VPS72	19	21	3.05502853371116	1.10526315789474	0.361784888651136	-1.46679594542286	40	0.24660738924192	0.00160622508217253	0.217728249239374	239	239	132	FALSE	TRUE	FALSE	FALSE	NA
ENST00000322678	0.0982000479047212	0.0411153660760444	939	12	55845998	55846936	ENSG00000179695	OR6C2	41	49	2.38840261626508	1.19512195121951	0.500385463941758	-0.998888214663685	90	0.295124314684382	0.00161577151818082	0.217728249239374	554	554	133	FALSE	TRUE	FALSE	FALSE	NA
ENST00000479665	0.1438963731649	0.041899276251308	1179	3	28362538	28390618	ENSG00000163512	AZI2	12	11	3.43434030463493	0.916666666666667	0.266912007942122	-1.905563883417	23	0.225512687638061	0.00184007639507612	0.239414174647678	125	125	137	FALSE	TRUE	FALSE	FALSE	NA
ENST00000382835	0.0732486711565287	0.0252929994313257	624	21	31709331	31710012	ENSG00000206107	KRTAP27-1	23	27	2.89600572503905	1.17391304347826	0.405355912569002	-1.30273890834411	50	0.256673134121223	0.00184349715999216	0.239414174647678	313	313	138	FALSE	TRUE	FALSE	FALSE	NA
ENST00000222157	0.0944673841330378	0.0417801235882955	630	19	49259344	49261580	ENSG00000105550	FGF21	20	16	2.26106042825355	0.8	0.35381628460851	-1.49892764441898	36	0.306648718109019	0.00192477706238508	0.248171615194715	221	221	139	FALSE	TRUE	FALSE	FALSE	NA
ENST00000273375	0.0910223288059513	0.029771023989469	711	3	120405528	120461384	ENSG00000144840	RABL3	14	12	3.05741343791698	0.857142857142857	0.280349018720488	-1.83470407480514	26	0.246462436057142	0.00195546482317409	0.248552060715788	135	135	141	FALSE	TRUE	FALSE	FALSE	NA
ENST00000319856	0.101316996102619	0.0460611517468275	990	11	48346472	48347507	ENSG00000176547	OR4C3	59	75	2.19961925093629	1.27118644067797	0.577912036429429	-0.791078177013623	134	0.312537186950408	0.00199909170491658	0.25230789813743	874	874	142	FALSE	TRUE	FALSE	FALSE	NA
ENST00000279022	0.0798906520584559	0.0334705586060917	519	20	35169887	35178228	ENSG00000101335	MYL9	17	13	2.38689329923271	0.764705882352941	0.32037707031092	-1.64215719849061	30	0.295255832307014	0.00212811283566748	0.261912853214559	184	184	145	FALSE	TRUE	FALSE	FALSE	NA
ENST00000518069	0.419418711713227	0.195813276994569	2796	5	140743898	140892546	ENSG00000253485	PCDHGA5	66	85	2.14193193715287	1.28787878787879	0.601269706819294	-0.733915820408765	151	0.31827551328377	0.00217828211156722	0.262007865795354	1022	1022	149	FALSE	TRUE	FALSE	FALSE	NA
ENST00000251296	0.2220628168752	0.108732900964308	1404	1	18434240	18704976	ENSG00000117154	IGSF21	59	70	2.04227804929157	1.1864406779661	0.580939837441653	-0.783539330085029	129	0.328701053551913	0.00257756315858674	0.289886061992865	889	889	158	FALSE	TRUE	FALSE	FALSE	NA
ENST00000373003	0.0602185613617272	0.024631737284713	447	20	42354804	42355638	ENSG00000124196	GTSF1L	16	12	2.4447549381383	0.75	0.306779214677088	-1.70472735617338	28	0.290296412359727	0.0025856310810066	0.289886061992865	167	167	159	FALSE	TRUE	FALSE	FALSE	NA
ENST00000609686	0.615845676620464	0.267887692667044	4455	12	13693165	14133053	ENSG00000273079	GRIN2B	158	267	2.29889499771046	1.68987341772152	0.73508073200582	-0.444025388790996	425	0.303131806466721	0.00258797957364459	0.289886061992865	2230	2230	160	FALSE	TRUE	FALSE	FALSE	NA
ENST00000155926	0.155368814397103	0.0697369592379042	1032	2	12857015	12882860	ENSG00000071575	TRIB2	27	26	2.22792642660357	0.962962962962963	0.432223861373636	-1.21014937499172	53	0.309796404204975	0.00265671309821633	0.292256729262851	358	358	162	FALSE	TRUE	FALSE	FALSE	NA
ENST00000426263	0.20508258917597	0.112986474277801	1479	1	43391052	43424501	ENSG00000117394	SLC2A1	35	30	1.81510743198988	0.857142857142857	0.472227066032771	-1.08244736185066	65	0.355226229960661	0.00269712400615991	0.292256729262851	460	460	165	FALSE	TRUE	FALSE	FALSE	NA
ENST00000340892	0.182888692031786	0.0525873799524044	1473	14	92246523	92302784	ENSG00000165929	TC2N	32	55	3.47780574345621	1.71875	0.494205291147723	-1.01681763810226	87	0.223323667280874	0.00272339601399346	0.292256729262851	534	534	167	FALSE	TRUE	FALSE	FALSE	NA
ENST00000338074	0.383105839290833	0.162942344010996	2646	20	34742672	34820721	ENSG00000088367	EPB41L1	62	88	2.35117422433165	1.41935483870968	0.603679142115956	-0.728146139828688	150	0.298402868087062	0.00308237204035761	0.313532621949603	1042	1042	174	FALSE	TRUE	FALSE	FALSE	NA
ENST00000239151	0.139164142792275	0.0639854261842703	810	17	46668619	46671323	ENSG00000120075	HOXB5	16	11	2.17493499834633	0.6875	0.316101400971858	-1.66154066555867	27	0.314967078230217	0.00314897176380585	0.313532621949603	180	180	180	FALSE	TRUE	FALSE	FALSE	NA
ENST00000408955	0.110965981589625	0.052021758894909	954	7	143632259	143633372	ENSG00000221910	OR2F2	24	21	2.13306862256987	0.875	0.410207149803657	-1.28557545705208	45	0.319175900839273	0.00347536645021592	0.321383652960357	322	322	191	FALSE	TRUE	FALSE	FALSE	NA
ENST00000276893	0.32608507443501	0.0923217080061991	2409	9	6413323	6507054	ENSG00000147854	UHRF2	17	23	3.5320520111382	1.35294117647059	0.383046787590934	-1.38440747270368	40	0.220650600995388	0.00363086694573578	0.323743270654112	272	272	201	FALSE	TRUE	FALSE	FALSE	NA
ENST00000580650	0.0329480764804179	0.010680982665062	231	18	5145284	5197502	ENSG00000231824	C18orf42	6	2	3.08474206106454	0.333333333333333	0.108058737727426	-3.21011236034518	8	0.244813499861332	0.00376910091646479	0.331734852639771	63	63	203	FALSE	TRUE	FALSE	FALSE	NA
ENST00000312106	0.336800742373221	0.153018534812755	2343	11	65784223	65793988	ENSG00000175294	CATSPER1	52	66	2.20104540136497	1.26923076923077	0.576649063414893	-0.794234503052794	118	0.312397943363623	0.00377602443580589	0.331734852639771	867	867	204	FALSE	TRUE	FALSE	FALSE	NA
ENST00000322893	0.382903364326625	0.145883490003222	2967	14	63173287	63512173	ENSG00000140015	KCNH5	107	197	2.62472034579216	1.8411214953271	0.701454346661622	-0.511578884111565	304	0.275883352259402	0.00381270274675453	0.333323212816267	1835	1835	205	FALSE	TRUE	FALSE	FALSE	NA
ENST00000346193	0.389797157776233	0.134985499083711	2376	X	34147869	34150447	ENSG00000185448	FAM47A	52	90	2.8876965334958	1.73076923076923	0.599359804845556	-0.738505759942156	142	0.257221722782154	0.00390164370762468	0.338406112199124	1011	1011	206	FALSE	TRUE	FALSE	FALSE	NA
ENST00000392550	0.473841722739184	0.224652669823076	3063	17	73521820	73571288	ENSG00000073350	LLGL2	59	75	2.10921919206371	1.27118644067797	0.602681051576346	-0.730533388028586	134	0.321624156493213	0.00405604781949553	0.340134507068486	1030	1030	212	FALSE	TRUE	FALSE	FALSE	NA
ENST00000262383	0.569064663995626	0.25850344800451	3855	16	49524522	49860918	ENSG00000102935	ZNF423	113	174	2.20138132929545	1.53982300884956	0.699480361879137	-0.515644541024552	287	0.312365162765561	0.0040648055776946	0.340134507068486	1815	1815	214	FALSE	TRUE	FALSE	FALSE	NA
ENST00000347055	0.102457684130474	0.0277607994351191	780	2	88326724	88355248	ENSG00000172086	KRCC1	9	8	3.69073247944215	0.888888888888889	0.240843489426587	-2.05383216992004	17	0.21318632098135	0.0040915181782896	0.340134507068486	109	109	215	FALSE	TRUE	FALSE	FALSE	NA
ENST00000262626	0.190557269554917	0.0882511951328779	1254	19	35531410	35557475	ENSG00000105707	HPN	31	32	2.15925993147174	1.03225806451613	0.478061047431445	-1.06473323567087	63	0.316529827140292	0.00409937805639956	0.340134507068486	477	477	216	FALSE	TRUE	FALSE	FALSE	NA
ENST00000392339	0.210147148751134	0.128255935420863	1398	17	80190144	80197369	ENSG00000141526	SLC16A3	24	15	1.638498429422	0.625	0.381446810553535	-1.39044619510276	39	0.379003447130746	0.00431345809868291	0.35461374332383	268	268	218	FALSE	TRUE	FALSE	FALSE	NA
ENST00000380095	0.0975840861824786	0.0435825938095279	756	21	46057273	46058370	ENSG00000221859	KRTAP10-10	6	1	2.23906100240287	0.166666666666667	0.0744359651156475	-3.74785633514892	7	0.308731450027696	0.00445749620072464	0.363695119167444	55	55	219	FALSE	TRUE	FALSE	FALSE	NA
ENST00000372262	0.448456427272469	0.237394989752001	2487	20	44802372	44880334	ENSG00000149654	CDH22	69	81	1.8890728390728	1.17391304347826	0.621422858450735	-0.68635278428216	150	0.346131806189052	0.00446457148895043	0.363695119167444	1156	1156	220	FALSE	TRUE	FALSE	FALSE	NA
ENST00000341083	0.187240422755508	0.0663817401816561	1407	10	13480637	13544976	ENSG00000165626	BEND7	28	38	2.82066155908414	1.35714285714286	0.481143458268534	-1.05546098119384	66	0.261734776696555	0.00461568619714814	0.364415541961625	486	486	227	FALSE	TRUE	FALSE	FALSE	NA
ENST00000360358	0.113991424261875	0.0615496974115183	945	1	248058889	248059833	ENSG00000238243	OR2W3	53	57	1.85202249654834	1.07547169811321	0.580701206447325	-0.784132063543911	110	0.350628370291696	0.00497558177356378	0.376950115973799	888	888	234	FALSE	TRUE	FALSE	FALSE	NA
